user_id,course_id,interaction_type,rating
U001,C08,VIEW,
U001,C07,VIEW,
U001,C10,VIEW,
U001,C10,BOOKMARK,
U001,C09,VIEW,
U001,C09,BOOKMARK,
U001,C06,VIEW,
U001,C06,ENROLL,
U001,C06,COMPLETE,
U001,C06,RATE,4.5
U002,C12,VIEW,
U002,C13,VIEW,
U002,C03,VIEW,
U002,C03,ENROLL,
U002,C03,COMPLETE,
U002,C03,RATE,4.5
U002,C14,VIEW,
U003,C16,VIEW,
U003,C16,BOOKMARK,
U003,C16,ENROLL,
U003,C16,COMPLETE,
U003,C16,RATE,4.5
U003,C15,VIEW,
U003,C03,VIEW,
U003,C03,BOOKMARK,
U003,C13,VIEW,
U004,C20,VIEW,
U004,C20,BOOKMARK,
U004,C20,ENROLL,
U004,C04,VIEW,
U004,C04,ENROLL,
U004,C04,COMPLETE,
U004,C04,RATE,4.0
U004,C06,VIEW,
U004,C06,BOOKMARK,
U004,C06,ENROLL,
U004,C06,COMPLETE,
U004,C06,RATE,4.0
U004,C13,VIEW,
U004,C13,BOOKMARK,
U004,C13,ENROLL,
U004,C05,VIEW,
U004,C05,BOOKMARK,
U004,C05,ENROLL,
U004,C11,VIEW,
U004,C11,BOOKMARK,
U004,C11,ENROLL,
U005,C02,VIEW,
U005,C18,VIEW,
U005,C18,BOOKMARK,
U005,C19,VIEW,
U005,C19,BOOKMARK,
U005,C20,VIEW,
U005,C20,ENROLL,
U005,C01,VIEW,
U005,C01,ENROLL,
U006,C09,VIEW,
U006,C09,BOOKMARK,
U006,C08,VIEW,
U006,C08,BOOKMARK,
U006,C15,VIEW,
U006,C15,ENROLL,
U006,C15,COMPLETE,
U006,C15,RATE,3.0
U006,C07,VIEW,
U006,C07,BOOKMARK,
U006,C03,VIEW,
U006,C03,BOOKMARK,
U006,C03,ENROLL,
U007,C13,VIEW,
U007,C13,ENROLL,
U007,C17,VIEW,
U007,C17,ENROLL,
U007,C17,COMPLETE,
U007,C17,RATE,4.0
U007,C14,VIEW,
U007,C14,BOOKMARK,
U007,C14,ENROLL,
U007,C11,VIEW,
U007,C11,BOOKMARK,
U007,C12,VIEW,
U007,C15,VIEW,
U007,C15,BOOKMARK,
U007,C15,ENROLL,
U007,C15,COMPLETE,
U007,C15,RATE,4.5
U008,C03,VIEW,
U008,C15,VIEW,
U008,C15,BOOKMARK,
U008,C05,VIEW,
U008,C05,BOOKMARK,
U008,C13,VIEW,
U008,C13,BOOKMARK,
U008,C13,ENROLL,
U008,C17,VIEW,
U008,C17,BOOKMARK,
U008,C04,VIEW,
U008,C04,BOOKMARK,
U009,C04,VIEW,
U009,C04,BOOKMARK,
U009,C01,VIEW,
U009,C06,VIEW,
U009,C06,BOOKMARK,
U009,C12,VIEW,
U009,C12,ENROLL,
U009,C07,VIEW,
U009,C07,BOOKMARK,
U009,C07,ENROLL,
U009,C11,VIEW,
U009,C11,BOOKMARK,
U009,C11,ENROLL,
U009,C14,VIEW,
U009,C14,BOOKMARK,
U010,C05,VIEW,
U010,C05,BOOKMARK,
U010,C04,VIEW,
U010,C06,VIEW,
U010,C10,VIEW,
U010,C10,ENROLL,
U010,C21,VIEW,
U010,C21,BOOKMARK,
U010,C16,VIEW,
U010,C16,ENROLL,
U010,C16,COMPLETE,
U010,C16,RATE,3.0
U011,C08,VIEW,
U011,C08,BOOKMARK,
U011,C02,VIEW,
U011,C09,VIEW,
U011,C07,VIEW,
U011,C07,BOOKMARK,
U011,C07,ENROLL,
U011,C07,COMPLETE,
U011,C07,RATE,4.0
U011,C06,VIEW,
U011,C06,ENROLL,
U011,C06,COMPLETE,
U011,C06,RATE,4.0
U012,C13,VIEW,
U012,C13,BOOKMARK,
U012,C18,VIEW,
U012,C18,BOOKMARK,
U012,C11,VIEW,
U012,C11,ENROLL,
U012,C19,VIEW,
U012,C19,BOOKMARK,
U012,C19,ENROLL,
U012,C21,VIEW,
U012,C21,BOOKMARK,
U012,C21,ENROLL,
U012,C21,COMPLETE,
U012,C21,RATE,3.5
U012,C12,VIEW,
U012,C12,BOOKMARK,
U012,C12,ENROLL,
U012,C20,VIEW,
U012,C20,BOOKMARK,
U013,C05,VIEW,
U013,C10,VIEW,
U013,C10,ENROLL,
U013,C10,COMPLETE,
U013,C10,RATE,3.5
U013,C15,VIEW,
U013,C17,VIEW,
U013,C17,BOOKMARK,
U013,C03,VIEW,
U013,C03,BOOKMARK,
U014,C04,VIEW,
U014,C04,BOOKMARK,
U014,C04,ENROLL,
U014,C04,COMPLETE,
U014,C04,RATE,5.0
U014,C02,VIEW,
U014,C02,BOOKMARK,
U014,C02,ENROLL,
U014,C05,VIEW,
U014,C05,ENROLL,
U014,C12,VIEW,
U014,C11,VIEW,
U014,C11,BOOKMARK,
U014,C11,ENROLL,
U014,C11,COMPLETE,
U014,C11,RATE,4.0
U015,C02,VIEW,
U015,C05,VIEW,
U015,C05,BOOKMARK,
U015,C20,VIEW,
U015,C01,VIEW,
U015,C17,VIEW,
U015,C04,VIEW,
U015,C16,VIEW,
U015,C16,BOOKMARK,
U015,C16,ENROLL,
U015,C16,COMPLETE,
U015,C16,RATE,3.5
U015,C21,VIEW,
U016,C06,VIEW,
U016,C06,BOOKMARK,
U016,C07,VIEW,
U016,C07,BOOKMARK,
U016,C08,VIEW,
U016,C03,VIEW,
U017,C12,VIEW,
U017,C13,VIEW,
U017,C13,BOOKMARK,
U017,C20,VIEW,
U017,C20,BOOKMARK,
