user_id,name,persona,preferred_categories
U001,Learner 1,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U002,Learner 2,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U003,Learner 3,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U004,Learner 4,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U005,Learner 5,Frontend Developer,"Web Development,Design,Mobile Development"
U006,Learner 6,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U007,Learner 7,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U008,Learner 8,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U009,Learner 9,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U010,Learner 10,Frontend Developer,"Web Development,Design,Mobile Development"
U011,Learner 11,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U012,Learner 12,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U013,Learner 13,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U014,Learner 14,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U015,Learner 15,Frontend Developer,"Web Development,Design,Mobile Development"
U016,Learner 16,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U017,Learner 17,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U018,Learner 18,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U019,Learner 19,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U020,Learner 20,Frontend Developer,"Web Development,Design,Mobile Development"
U021,Learner 21,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U022,Learner 22,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U023,Learner 23,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U024,Learner 24,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U025,Learner 25,Frontend Developer,"Web Development,Design,Mobile Development"
U026,Learner 26,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U027,Learner 27,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U028,Learner 28,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U029,Learner 29,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U030,Learner 30,Frontend Developer,"Web Development,Design,Mobile Development"
U031,Learner 31,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U032,Learner 32,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U033,Learner 33,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U034,Learner 34,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U035,Learner 35,Frontend Developer,"Web Development,Design,Mobile Development"
U036,Learner 36,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U037,Learner 37,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U038,Learner 38,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U039,Learner 39,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U040,Learner 40,Frontend Developer,"Web Development,Design,Mobile Development"
U041,Learner 41,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U042,Learner 42,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U043,Learner 43,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U044,Learner 44,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U045,Learner 45,Frontend Developer,"Web Development,Design,Mobile Development"
U046,Learner 46,Data Scientist,"Data Science,Machine Learning,Artificial Intelligence,Programming Languages"
U047,Learner 47,Backend Engineer,"Backend Development,Databases,Cloud Computing,DevOps"
U048,Learner 48,Security Specialist,"Cybersecurity,Backend Development,Cloud Computing"
U049,Learner 49,Fullstack Beginner,"Programming Languages,Web Development,Databases"
U050,Learner 50,Frontend Developer,"Web Development,Design,Mobile Development"
